timestamp,event_type,duty_cycle_pct,tx_count,violations,memory_free_kb,memory_total_kb,memory_min_kb,memory_peak_kb,queue_enqueued,queue_dropped,queue_drop_rate_pct,queue_max_depth,packet_seq,packet_source,packet_hops,routing_table_entries,trickle_tx_count,trickle_suppressed,trickle_efficiency_pct,trickle_interval_s,raw_line
2025-10-27T14:44:09.820040,monitoring,0.0,0,0,324,383,324,59,,,,,,,,,,,,,"Memory: 324/383 KB free, Min: 324 KB, Peak: 59 KB"
2025-10-27T14:44:39.836025,monitoring,0.0,0,0,324,383,324,59,,,,,,,,,,,,,"Memory: 324/383 KB free, Min: 324 KB, Peak: 59 KB"
2025-10-27T14:45:03.112104,packet,,,,,,,,,,,,22,BB94,1,,,,,,RX: Seq=22 From=BB94 Hops=1 Value=76.31
2025-10-27T14:45:03.118088,packet,,,,,,,,,,,,22,BB94,1,,,,,,"GATEWAY: Packet 22 from BB94 received (hops=1, value=76.31)"
2025-10-27T14:45:09.870048,monitoring,0.0,0,0,324,383,324,59,,,,,,,,,,,,,"Memory: 324/383 KB free, Min: 324 KB, Peak: 59 KB"
2025-10-27T14:45:39.893179,monitoring,0.0,0,0,324,383,324,59,,,,,,,,,,,,,"Memory: 324/383 KB free, Min: 324 KB, Peak: 59 KB"
2025-10-27T14:46:03.241099,packet,,,,,,,,,,,,23,BB94,1,,,,,,RX: Seq=23 From=BB94 Hops=1 Value=29.97
2025-10-27T14:46:03.246086,packet,,,,,,,,,,,,23,BB94,1,,,,,,"GATEWAY: Packet 23 from BB94 received (hops=1, value=29.97)"
2025-10-27T14:46:09.927174,monitoring,0.0,0,0,324,383,324,59,,,,,,,,,,,,,"Memory: 324/383 KB free, Min: 324 KB, Peak: 59 KB"
2025-10-27T14:46:39.944212,monitoring,0.0,0,0,324,383,324,59,,,,,,,,,,,,,"Memory: 324/383 KB free, Min: 324 KB, Peak: 59 KB"
2025-10-27T14:47:03.524342,packet,,,,,,,,,,,,24,BB94,1,,,,,,RX: Seq=24 From=BB94 Hops=1 Value=75.91
2025-10-27T14:47:03.529196,packet,,,,,,,,,,,,24,BB94,1,,,,,,"GATEWAY: Packet 24 from BB94 received (hops=1, value=75.91)"
2025-10-27T14:47:09.978269,monitoring,0.0,0,0,324,383,324,59,,,,,,,,,,,,,"Memory: 324/383 KB free, Min: 324 KB, Peak: 59 KB"
2025-10-27T14:47:39.999263,monitoring,0.0,0,0,324,383,324,59,,,,,,,,,,,,,"Memory: 324/383 KB free, Min: 324 KB, Peak: 59 KB"
2025-10-27T14:48:03.054257,packet,,,,,,,,,,,,25,BB94,1,,,,,,RX: Seq=25 From=BB94 Hops=1 Value=90.44
2025-10-27T14:48:03.059385,packet,,,,,,,,,,,,25,BB94,1,,,,,,"GATEWAY: Packet 25 from BB94 received (hops=1, value=90.44)"
2025-10-27T14:48:10.001358,monitoring,0.0,0,0,324,383,324,59,,,,,,,,,,,,,"Memory: 324/383 KB free, Min: 324 KB, Peak: 59 KB"
2025-10-27T14:48:40.017348,monitoring,0.0,0,0,324,383,324,59,,,,,,,,,,,,,"Memory: 324/383 KB free, Min: 324 KB, Peak: 59 KB"
2025-10-27T14:49:03.041474,packet,,,,,,,,,,,,26,BB94,1,,,,,,RX: Seq=26 From=BB94 Hops=1 Value=34.25
