timestamp,event_type,duty_cycle_pct,tx_count,violations,memory_free_kb,memory_total_kb,memory_min_kb,memory_peak_kb,queue_enqueued,queue_dropped,queue_drop_rate_pct,queue_max_depth,packet_seq,packet_source,packet_hops,routing_table_entries,raw_line
2025-10-22T14:07:28.187454,packet,,,,,,,,,,,,2,BB94,0,,RX: Seq=2 From=BB94 Hops=0 Value=0.08
2025-10-22T14:07:28.187618,packet,,,,,,,,,,,,2,BB94,0,,"GATEWAY: Packet 2 from BB94 received (hops=0, value=0.08)"
2025-10-22T14:07:43.625844,monitoring,0.0,0,0,323,383,323,59,,,,,,,,,"Memory: 323/383 KB free, Min: 323 KB, Peak: 59 KB"
2025-10-22T14:08:13.658840,monitoring,0.0,0,0,323,383,323,59,,,,,,,,,"Memory: 323/383 KB free, Min: 323 KB, Peak: 59 KB"
2025-10-22T14:08:27.117860,packet,,,,,,,,,,,,3,BB94,0,,RX: Seq=3 From=BB94 Hops=0 Value=52.56
2025-10-22T14:08:27.122846,packet,,,,,,,,,,,,3,BB94,0,,"GATEWAY: Packet 3 from BB94 received (hops=0, value=52.56)"
2025-10-22T14:08:43.704823,monitoring,0.0,0,0,323,383,323,59,,,,,,,,,"Memory: 323/383 KB free, Min: 323 KB, Peak: 59 KB"
2025-10-22T14:09:13.736928,monitoring,0.0,0,0,323,383,323,59,,,,,,,,,"Memory: 323/383 KB free, Min: 323 KB, Peak: 59 KB"
2025-10-22T14:09:26.665789,packet,,,,,,,,,,,,4,BB94,0,,RX: Seq=4 From=BB94 Hops=0 Value=56.19
2025-10-22T14:09:26.670944,packet,,,,,,,,,,,,4,BB94,0,,"GATEWAY: Packet 4 from BB94 received (hops=0, value=56.19)"
2025-10-22T14:09:43.775828,monitoring,0.0,0,0,323,383,323,59,,,,,,,,,"Memory: 323/383 KB free, Min: 323 KB, Peak: 59 KB"
2025-10-22T14:10:13.807924,monitoring,0.0,0,0,323,383,323,59,,,,,,,,,"Memory: 323/383 KB free, Min: 323 KB, Peak: 59 KB"
2025-10-22T14:10:26.530850,packet,,,,,,,,,,,,5,BB94,0,,RX: Seq=5 From=BB94 Hops=0 Value=11.51
2025-10-22T14:10:26.536891,packet,,,,,,,,,,,,5,BB94,0,,"GATEWAY: Packet 5 from BB94 received (hops=0, value=11.51)"
2025-10-22T14:10:43.839888,monitoring,0.0,0,0,323,383,323,59,,,,,,,,,"Memory: 323/383 KB free, Min: 323 KB, Peak: 59 KB"
2025-10-22T14:11:13.871893,monitoring,0.0,0,0,323,383,323,59,,,,,,,,,"Memory: 323/383 KB free, Min: 323 KB, Peak: 59 KB"
2025-10-22T14:11:26.736880,packet,,,,,,,,,,,,6,BB94,0,,RX: Seq=6 From=BB94 Hops=0 Value=43.05
2025-10-22T14:11:26.741912,packet,,,,,,,,,,,,6,BB94,0,,"GATEWAY: Packet 6 from BB94 received (hops=0, value=43.05)"
2025-10-22T14:11:43.904943,monitoring,0.0,0,0,323,383,323,59,,,,,,,,,"Memory: 323/383 KB free, Min: 323 KB, Peak: 59 KB"
2025-10-22T14:12:13.941860,monitoring,0.0,0,0,323,383,323,59,,,,,,,,,"Memory: 323/383 KB free, Min: 323 KB, Peak: 59 KB"
2025-10-22T14:12:27.144894,packet,,,,,,,,,,,,7,BB94,0,,RX: Seq=7 From=BB94 Hops=0 Value=8.93
2025-10-22T14:12:27.149854,packet,,,,,,,,,,,,7,BB94,0,,"GATEWAY: Packet 7 from BB94 received (hops=0, value=8.93)"
2025-10-22T14:12:43.978975,monitoring,0.0,0,0,323,383,323,59,,,,,,,,,"Memory: 323/383 KB free, Min: 323 KB, Peak: 59 KB"
2025-10-22T14:13:14.010944,monitoring,0.0,0,0,323,383,323,59,,,,,,,,,"Memory: 323/383 KB free, Min: 323 KB, Peak: 59 KB"
2025-10-22T14:13:27.088954,packet,,,,,,,,,,,,8,BB94,0,,RX: Seq=8 From=BB94 Hops=0 Value=30.66
2025-10-22T14:13:27.093919,packet,,,,,,,,,,,,8,BB94,0,,"GATEWAY: Packet 8 from BB94 received (hops=0, value=30.66)"
2025-10-22T14:13:44.047931,monitoring,0.0,0,0,323,383,323,59,,,,,,,,,"Memory: 323/383 KB free, Min: 323 KB, Peak: 59 KB"
2025-10-22T14:14:14.086010,monitoring,0.0,0,0,323,383,323,59,,,,,,,,,"Memory: 323/383 KB free, Min: 323 KB, Peak: 59 KB"
2025-10-22T14:14:26.729012,packet,,,,,,,,,,,,9,BB94,0,,RX: Seq=9 From=BB94 Hops=0 Value=69.32
2025-10-22T14:14:26.734020,packet,,,,,,,,,,,,9,BB94,0,,"GATEWAY: Packet 9 from BB94 received (hops=0, value=69.32)"
2025-10-22T14:14:44.118961,monitoring,0.0,0,0,323,383,323,59,,,,,,,,,"Memory: 323/383 KB free, Min: 323 KB, Peak: 59 KB"
2025-10-22T14:15:14.151053,monitoring,0.0,0,0,323,383,323,59,,,,,,,,,"Memory: 323/383 KB free, Min: 323 KB, Peak: 59 KB"
2025-10-22T14:15:26.905043,packet,,,,,,,,,,,,10,BB94,0,,RX: Seq=10 From=BB94 Hops=0 Value=17.47
2025-10-22T14:15:26.910989,packet,,,,,,,,,,,,10,BB94,0,,"GATEWAY: Packet 10 from BB94 received (hops=0, value=17.47)"
2025-10-22T14:15:44.184028,monitoring,0.0,0,0,323,383,323,59,,,,,,,,,"Memory: 323/383 KB free, Min: 323 KB, Peak: 59 KB"
2025-10-22T14:16:14.221036,monitoring,0.0,0,0,323,383,323,59,,,,,,,,,"Memory: 323/383 KB free, Min: 323 KB, Peak: 59 KB"
2025-10-22T14:16:26.671024,packet,,,,,,,,,,,,11,BB94,0,,RX: Seq=11 From=BB94 Hops=0 Value=72.68
2025-10-22T14:16:26.675996,packet,,,,,,,,,,,,11,BB94,0,,"GATEWAY: Packet 11 from BB94 received (hops=0, value=72.68)"
2025-10-22T14:16:44.253047,monitoring,0.0,0,0,323,383,323,59,,,,,,,,,"Memory: 323/383 KB free, Min: 323 KB, Peak: 59 KB"
2025-10-22T14:17:14.285061,monitoring,0.0,0,0,323,383,323,59,,,,,,,,,"Memory: 323/383 KB free, Min: 323 KB, Peak: 59 KB"
2025-10-22T14:17:27.085056,packet,,,,,,,,,,,,12,BB94,0,,RX: Seq=12 From=BB94 Hops=0 Value=80.23
